Name,Year,Tenure,Percent_of_population_in_borough
Brent,2009,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2009,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2009,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2009,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2009,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2009,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2009,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2009,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2009,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2009,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2009,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2009,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2009,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2009,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2009,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2009,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2009,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2009,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2009,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2009,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2009,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2009,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2009,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2009,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2009,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2009,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2009,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2009,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2009,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2009,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2009,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2009,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2009,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2009,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2009,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2009,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2009,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2009,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2009,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2009,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2009,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2009,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2009,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2009,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2008,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2008,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2008,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2008,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2008,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2008,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2008,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2008,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2008,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2008,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2008,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2008,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2008,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2008,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2008,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2008,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2008,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2008,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2008,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2008,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2008,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2008,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2008,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2008,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2008,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2008,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2008,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2008,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2008,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2008,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2008,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2008,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2008,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2008,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2008,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2008,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2008,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2008,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2008,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2008,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2008,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2008,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2008,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2008,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2008,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2008,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2008,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2008,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2007,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2007,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2007,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2007,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2007,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2007,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2007,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2007,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2007,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2007,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2007,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2007,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2007,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2007,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2007,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2007,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2007,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2007,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2007,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2007,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2007,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2007,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2007,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2007,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2007,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2007,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2007,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2007,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2007,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2007,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2007,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2007,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2007,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2007,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2007,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2007,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2007,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2007,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2007,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2007,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2007,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2007,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2007,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2007,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2007,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2007,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2007,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2007,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2006,Rented.from.Local.Authority.or.Housing.Association,-
Barking and Dagenham,2006,Rented.from.Local.Authority.or.Housing.Association,29.8
Barnet,2006,Rented.from.Local.Authority.or.Housing.Association,10.5
Bexley,2006,Rented.from.Local.Authority.or.Housing.Association,12.1
Brent,2006,Rented.from.Local.Authority.or.Housing.Association,24.7
Bromley,2006,Rented.from.Local.Authority.or.Housing.Association,11.7
Camden,2006,Rented.from.Local.Authority.or.Housing.Association,34.2
Croydon,2006,Rented.from.Local.Authority.or.Housing.Association,15.8
Ealing,2006,Rented.from.Local.Authority.or.Housing.Association,12.9
Enfield,2006,Rented.from.Local.Authority.or.Housing.Association,17
Greenwich,2006,Rented.from.Local.Authority.or.Housing.Association,30
Hackney,2006,Rented.from.Local.Authority.or.Housing.Association,41.3
Hammersmith and Fulham,2006,Rented.from.Local.Authority.or.Housing.Association,27.9
Haringey,2006,Rented.from.Local.Authority.or.Housing.Association,23.1
Harrow,2006,Rented.from.Local.Authority.or.Housing.Association,7.8
Havering,2006,Rented.from.Local.Authority.or.Housing.Association,11.3
Hillingdon,2006,Rented.from.Local.Authority.or.Housing.Association,19
Hounslow,2006,Rented.from.Local.Authority.or.Housing.Association,23.2
Islington,2006,Rented.from.Local.Authority.or.Housing.Association,37.8
Kensington and Chelsea,2006,Rented.from.Local.Authority.or.Housing.Association,36
Kingston upon Thames,2006,Rented.from.Local.Authority.or.Housing.Association,12
Lambeth,2006,Rented.from.Local.Authority.or.Housing.Association,31.5
Lewisham,2006,Rented.from.Local.Authority.or.Housing.Association,28.3
Merton,2006,Rented.from.Local.Authority.or.Housing.Association,16.6
Newham,2006,Rented.from.Local.Authority.or.Housing.Association,25.7
Redbridge,2006,Rented.from.Local.Authority.or.Housing.Association,6.2
Richmond upon Thames,2006,Rented.from.Local.Authority.or.Housing.Association,5.7
Southwark,2006,Rented.from.Local.Authority.or.Housing.Association,36.5
Sutton,2006,Rented.from.Local.Authority.or.Housing.Association,11
Tower Hamlets,2006,Rented.from.Local.Authority.or.Housing.Association,42
Waltham Forest,2006,Rented.from.Local.Authority.or.Housing.Association,21.6
Wandsworth,2006,Rented.from.Local.Authority.or.Housing.Association,12.7
Westminster,2006,Rented.from.Local.Authority.or.Housing.Association,33.2
Inner London,2006,Rented.from.Local.Authority.or.Housing.Association,31.1
Outer London,2006,Rented.from.Local.Authority.or.Housing.Association,15.8
North East,2006,Rented.from.Local.Authority.or.Housing.Association,20.5
North West,2006,Rented.from.Local.Authority.or.Housing.Association,16.3
Yorkshire and The Humber,2006,Rented.from.Local.Authority.or.Housing.Association,16.4
East Midlands,2006,Rented.from.Local.Authority.or.Housing.Association,14.2
West Midlands,2006,Rented.from.Local.Authority.or.Housing.Association,17.5
East of England,2006,Rented.from.Local.Authority.or.Housing.Association,14.7
London,2006,Rented.from.Local.Authority.or.Housing.Association,21.9
South East,2006,Rented.from.Local.Authority.or.Housing.Association,11.3
South West,2006,Rented.from.Local.Authority.or.Housing.Association,11.5
Wales,2006,Rented.from.Local.Authority.or.Housing.Association,14.8
Scotland,2006,Rented.from.Local.Authority.or.Housing.Association,20
Northern Ireland,2006,Rented.from.Local.Authority.or.Housing.Association,13.9
UK,2006,Rented.from.Local.Authority.or.Housing.Association,16.1
City of London,2018,Rented.from.Private.landlord,-
Barking and Dagenham,2018,Rented.from.Private.landlord,23.1
Barnet,2018,Rented.from.Private.landlord,25
Bexley,2018,Rented.from.Private.landlord,15.9
Brent,2018,Rented.from.Private.landlord,32.9
Bromley,2018,Rented.from.Private.landlord,21.2
Camden,2018,Rented.from.Private.landlord,28.2
Croydon,2018,Rented.from.Private.landlord,24.2
Ealing,2018,Rented.from.Private.landlord,24.2
Enfield,2018,Rented.from.Private.landlord,28.1
Greenwich,2018,Rented.from.Private.landlord,18.7
Hackney,2018,Rented.from.Private.landlord,23.8
Hammersmith and Fulham,2018,Rented.from.Private.landlord,32.3
Haringey,2018,Rented.from.Private.landlord,34
Harrow,2018,Rented.from.Private.landlord,33.7
Havering,2018,Rented.from.Private.landlord,13
Hillingdon,2018,Rented.from.Private.landlord,21.3
Hounslow,2018,Rented.from.Private.landlord,27.4
Islington,2018,Rented.from.Private.landlord,29.2
Kensington and Chelsea,2018,Rented.from.Private.landlord,28.6
Kingston upon Thames,2018,Rented.from.Private.landlord,28.6
Lambeth,2018,Rented.from.Private.landlord,24.4
Lewisham,2018,Rented.from.Private.landlord,22.8
Merton,2018,Rented.from.Private.landlord,26.4
Newham,2018,Rented.from.Private.landlord,26.8
Redbridge,2018,Rented.from.Private.landlord,31.5
Richmond upon Thames,2018,Rented.from.Private.landlord,17.7
Southwark,2018,Rented.from.Private.landlord,24.4
Sutton,2018,Rented.from.Private.landlord,23.2
Tower Hamlets,2018,Rented.from.Private.landlord,34.8
Waltham Forest,2018,Rented.from.Private.landlord,18.8
Wandsworth,2018,Rented.from.Private.landlord,26.4
Westminster,2018,Rented.from.Private.landlord,35.1
Inner London,2018,Rented.from.Private.landlord,28.2
Outer London,2018,Rented.from.Private.landlord,24.1
North East,2018,Rented.from.Private.landlord,14.9
North West,2018,Rented.from.Private.landlord,16.4
Yorkshire and The Humber,2018,Rented.from.Private.landlord,17.4
East Midlands,2018,Rented.from.Private.landlord,17.9
West Midlands,2018,Rented.from.Private.landlord,16.4
East of England,2018,Rented.from.Private.landlord,16.8
London,2018,Rented.from.Private.landlord,25.8
South East,2018,Rented.from.Private.landlord,17.4
South West,2018,Rented.from.Private.landlord,17.8
Wales,2018,Rented.from.Private.landlord,15.8
Scotland,2018,Rented.from.Private.landlord,12.6
Northern Ireland,2018,Rented.from.Private.landlord,18.4
UK,2018,Rented.from.Private.landlord,17.8
City of London,2017,Rented.from.Private.landlord,-
Barking and Dagenham,2017,Rented.from.Private.landlord,23
Barnet,2017,Rented.from.Private.landlord,30.7
Bexley,2017,Rented.from.Private.landlord,13.4
Brent,2017,Rented.from.Private.landlord,35.1
Bromley,2017,Rented.from.Private.landlord,13.7
Camden,2017,Rented.from.Private.landlord,26.5
Croydon,2017,Rented.from.Private.landlord,25.7
Ealing,2017,Rented.from.Private.landlord,28.5
Enfield,2017,Rented.from.Private.landlord,27.9
Greenwich,2017,Rented.from.Private.landlord,19.8
Hackney,2017,Rented.from.Private.landlord,25
Hammersmith and Fulham,2017,Rented.from.Private.landlord,29.5
Haringey,2017,Rented.from.Private.landlord,35
Harrow,2017,Rented.from.Private.landlord,33.6
Havering,2017,Rented.from.Private.landlord,11
Hillingdon,2017,Rented.from.Private.landlord,22.8
Hounslow,2017,Rented.from.Private.landlord,29.1
Islington,2017,Rented.from.Private.landlord,27.2
Kensington and Chelsea,2017,Rented.from.Private.landlord,29.3
Kingston upon Thames,2017,Rented.from.Private.landlord,22.9
Lambeth,2017,Rented.from.Private.landlord,23.9
Lewisham,2017,Rented.from.Private.landlord,21
Merton,2017,Rented.from.Private.landlord,22.8
Newham,2017,Rented.from.Private.landlord,39.8
Redbridge,2017,Rented.from.Private.landlord,30.3
Richmond upon Thames,2017,Rented.from.Private.landlord,19.6
Southwark,2017,Rented.from.Private.landlord,24.4
Sutton,2017,Rented.from.Private.landlord,14.3
Tower Hamlets,2017,Rented.from.Private.landlord,34.9
Waltham Forest,2017,Rented.from.Private.landlord,26.2
Wandsworth,2017,Rented.from.Private.landlord,32.8
Westminster,2017,Rented.from.Private.landlord,38.5
Inner London,2017,Rented.from.Private.landlord,29.9
Outer London,2017,Rented.from.Private.landlord,24.3
North East,2017,Rented.from.Private.landlord,15.5
North West,2017,Rented.from.Private.landlord,16
Yorkshire and The Humber,2017,Rented.from.Private.landlord,17.8
East Midlands,2017,Rented.from.Private.landlord,18
West Midlands,2017,Rented.from.Private.landlord,17
East of England,2017,Rented.from.Private.landlord,16.5
London,2017,Rented.from.Private.landlord,26.6
South East,2017,Rented.from.Private.landlord,17.6
South West,2017,Rented.from.Private.landlord,17.6
Wales,2017,Rented.from.Private.landlord,15.8
Scotland,2017,Rented.from.Private.landlord,13.4
Northern Ireland,2017,Rented.from.Private.landlord,18.2
UK,2017,Rented.from.Private.landlord,18.1
City of London,2016,Rented.from.Private.landlord,-
Barking and Dagenham,2016,Rented.from.Private.landlord,23
Barnet,2016,Rented.from.Private.landlord,30.7
Bexley,2016,Rented.from.Private.landlord,13.4
Brent,2016,Rented.from.Private.landlord,35.1
Bromley,2016,Rented.from.Private.landlord,13.7
Camden,2016,Rented.from.Private.landlord,26.5
Croydon,2016,Rented.from.Private.landlord,25.7
Ealing,2016,Rented.from.Private.landlord,28.5
Enfield,2016,Rented.from.Private.landlord,27.9
Greenwich,2016,Rented.from.Private.landlord,19.8
Hackney,2016,Rented.from.Private.landlord,25
Hammersmith and Fulham,2016,Rented.from.Private.landlord,29.5
Haringey,2016,Rented.from.Private.landlord,35
Harrow,2016,Rented.from.Private.landlord,33.6
Havering,2016,Rented.from.Private.landlord,11
Hillingdon,2016,Rented.from.Private.landlord,22.8
Hounslow,2016,Rented.from.Private.landlord,29.1
Islington,2016,Rented.from.Private.landlord,27.2
Kensington and Chelsea,2016,Rented.from.Private.landlord,29.3
Kingston upon Thames,2016,Rented.from.Private.landlord,22.9
Lambeth,2016,Rented.from.Private.landlord,23.9
Lewisham,2016,Rented.from.Private.landlord,21
Merton,2016,Rented.from.Private.landlord,22.8
Newham,2016,Rented.from.Private.landlord,39.8
Redbridge,2016,Rented.from.Private.landlord,30.3
Richmond upon Thames,2016,Rented.from.Private.landlord,19.6
Southwark,2016,Rented.from.Private.landlord,24.4
Sutton,2016,Rented.from.Private.landlord,14.3
Tower Hamlets,2016,Rented.from.Private.landlord,34.9
Waltham Forest,2016,Rented.from.Private.landlord,26.2
Wandsworth,2016,Rented.from.Private.landlord,32.8
Westminster,2016,Rented.from.Private.landlord,38.5
Inner London,2016,Rented.from.Private.landlord,29.9
Outer London,2016,Rented.from.Private.landlord,24.3
North East,2016,Rented.from.Private.landlord,15.5
North West,2016,Rented.from.Private.landlord,16
Yorkshire and The Humber,2016,Rented.from.Private.landlord,17.8
East Midlands,2016,Rented.from.Private.landlord,18
West Midlands,2016,Rented.from.Private.landlord,17
East of England,2016,Rented.from.Private.landlord,16.5
London,2016,Rented.from.Private.landlord,26.6
South East,2016,Rented.from.Private.landlord,17.6
South West,2016,Rented.from.Private.landlord,17.6
Wales,2016,Rented.from.Private.landlord,15.8
Scotland,2016,Rented.from.Private.landlord,13.4
Northern Ireland,2016,Rented.from.Private.landlord,18.2
UK,2016,Rented.from.Private.landlord,18.1
City of London,2015,Rented.from.Private.landlord,-
Barking and Dagenham,2015,Rented.from.Private.landlord,23
Barnet,2015,Rented.from.Private.landlord,30.7
Bexley,2015,Rented.from.Private.landlord,13.4
Brent,2015,Rented.from.Private.landlord,35.1
Bromley,2015,Rented.from.Private.landlord,13.7
Camden,2015,Rented.from.Private.landlord,26.5
Croydon,2015,Rented.from.Private.landlord,25.7
Ealing,2015,Rented.from.Private.landlord,28.5
Enfield,2015,Rented.from.Private.landlord,27.9
Greenwich,2015,Rented.from.Private.landlord,19.8
Hackney,2015,Rented.from.Private.landlord,25
Hammersmith and Fulham,2015,Rented.from.Private.landlord,29.5
Haringey,2015,Rented.from.Private.landlord,35
Harrow,2015,Rented.from.Private.landlord,33.6
Havering,2015,Rented.from.Private.landlord,11
Hillingdon,2015,Rented.from.Private.landlord,22.8
Hounslow,2015,Rented.from.Private.landlord,29.1
Islington,2015,Rented.from.Private.landlord,27.2
Kensington and Chelsea,2015,Rented.from.Private.landlord,29.3
Kingston upon Thames,2015,Rented.from.Private.landlord,22.9
Lambeth,2015,Rented.from.Private.landlord,23.9
Lewisham,2015,Rented.from.Private.landlord,21
Merton,2015,Rented.from.Private.landlord,22.8
Newham,2015,Rented.from.Private.landlord,39.8
Redbridge,2015,Rented.from.Private.landlord,30.3
Richmond upon Thames,2015,Rented.from.Private.landlord,19.6
Southwark,2015,Rented.from.Private.landlord,24.4
Sutton,2015,Rented.from.Private.landlord,14.3
Tower Hamlets,2015,Rented.from.Private.landlord,34.9
Waltham Forest,2015,Rented.from.Private.landlord,26.2
Wandsworth,2015,Rented.from.Private.landlord,32.8
Westminster,2015,Rented.from.Private.landlord,38.5
Inner London,2015,Rented.from.Private.landlord,29.9
Outer London,2015,Rented.from.Private.landlord,24.3
North East,2015,Rented.from.Private.landlord,15.5
North West,2015,Rented.from.Private.landlord,16
Yorkshire and The Humber,2015,Rented.from.Private.landlord,17.8
East Midlands,2015,Rented.from.Private.landlord,18
West Midlands,2015,Rented.from.Private.landlord,17
East of England,2015,Rented.from.Private.landlord,16.5
London,2015,Rented.from.Private.landlord,26.6
South East,2015,Rented.from.Private.landlord,17.6
South West,2015,Rented.from.Private.landlord,17.6
Wales,2015,Rented.from.Private.landlord,15.8
Scotland,2015,Rented.from.Private.landlord,13.4
Northern Ireland,2015,Rented.from.Private.landlord,18.2
UK,2015,Rented.from.Private.landlord,18.1
City of London,2014,Rented.from.Private.landlord,-
Barking and Dagenham,2014,Rented.from.Private.landlord,23
Barnet,2014,Rented.from.Private.landlord,30.7
Bexley,2014,Rented.from.Private.landlord,13.4
Brent,2014,Rented.from.Private.landlord,35.1
Bromley,2014,Rented.from.Private.landlord,13.7
Camden,2014,Rented.from.Private.landlord,26.5
Croydon,2014,Rented.from.Private.landlord,25.7
Ealing,2014,Rented.from.Private.landlord,28.5
Enfield,2014,Rented.from.Private.landlord,27.9
Greenwich,2014,Rented.from.Private.landlord,19.8
Hackney,2014,Rented.from.Private.landlord,25
Hammersmith and Fulham,2014,Rented.from.Private.landlord,29.5
Haringey,2014,Rented.from.Private.landlord,35
Harrow,2014,Rented.from.Private.landlord,33.6
Havering,2014,Rented.from.Private.landlord,11
Hillingdon,2014,Rented.from.Private.landlord,22.8
Hounslow,2014,Rented.from.Private.landlord,29.1
Islington,2014,Rented.from.Private.landlord,27.2
Kensington and Chelsea,2014,Rented.from.Private.landlord,29.3
Kingston upon Thames,2014,Rented.from.Private.landlord,22.9
Lambeth,2014,Rented.from.Private.landlord,23.9
Lewisham,2014,Rented.from.Private.landlord,21
Merton,2014,Rented.from.Private.landlord,22.8
Newham,2014,Rented.from.Private.landlord,39.8
Redbridge,2014,Rented.from.Private.landlord,30.3
Richmond upon Thames,2014,Rented.from.Private.landlord,19.6
Southwark,2014,Rented.from.Private.landlord,24.4
Sutton,2014,Rented.from.Private.landlord,14.3
Tower Hamlets,2014,Rented.from.Private.landlord,34.9
Waltham Forest,2014,Rented.from.Private.landlord,26.2
Wandsworth,2014,Rented.from.Private.landlord,32.8
Westminster,2014,Rented.from.Private.landlord,38.5
Inner London,2014,Rented.from.Private.landlord,29.9
Outer London,2014,Rented.from.Private.landlord,24.3
North East,2014,Rented.from.Private.landlord,15.5
North West,2014,Rented.from.Private.landlord,16
Yorkshire and The Humber,2014,Rented.from.Private.landlord,17.8
East Midlands,2014,Rented.from.Private.landlord,18
West Midlands,2014,Rented.from.Private.landlord,17
East of England,2014,Rented.from.Private.landlord,16.5
London,2014,Rented.from.Private.landlord,26.6
South East,2014,Rented.from.Private.landlord,17.6
South West,2014,Rented.from.Private.landlord,17.6
Wales,2014,Rented.from.Private.landlord,15.8
Scotland,2014,Rented.from.Private.landlord,13.4
Northern Ireland,2014,Rented.from.Private.landlord,18.2
UK,2014,Rented.from.Private.landlord,18.1
City of London,2013,Rented.from.Private.landlord,-
Barking and Dagenham,2013,Rented.from.Private.landlord,23
Barnet,2013,Rented.from.Private.landlord,30.7
Bexley,2013,Rented.from.Private.landlord,13.4
Brent,2013,Rented.from.Private.landlord,35.1
Bromley,2013,Rented.from.Private.landlord,13.7
Camden,2013,Rented.from.Private.landlord,26.5
Croydon,2013,Rented.from.Private.landlord,25.7
Ealing,2013,Rented.from.Private.landlord,28.5
Enfield,2013,Rented.from.Private.landlord,27.9
Greenwich,2013,Rented.from.Private.landlord,19.8
Hackney,2013,Rented.from.Private.landlord,25
Hammersmith and Fulham,2013,Rented.from.Private.landlord,29.5
Haringey,2013,Rented.from.Private.landlord,35
Harrow,2013,Rented.from.Private.landlord,33.6
Havering,2013,Rented.from.Private.landlord,11
Hillingdon,2013,Rented.from.Private.landlord,22.8
Hounslow,2013,Rented.from.Private.landlord,29.1
Islington,2013,Rented.from.Private.landlord,27.2
Kensington and Chelsea,2013,Rented.from.Private.landlord,29.3
Kingston upon Thames,2013,Rented.from.Private.landlord,22.9
Lambeth,2013,Rented.from.Private.landlord,23.9
Lewisham,2013,Rented.from.Private.landlord,21
Merton,2013,Rented.from.Private.landlord,22.8
Newham,2013,Rented.from.Private.landlord,39.8
Redbridge,2013,Rented.from.Private.landlord,30.3
Richmond upon Thames,2013,Rented.from.Private.landlord,19.6
Southwark,2013,Rented.from.Private.landlord,24.4
Sutton,2013,Rented.from.Private.landlord,14.3
Tower Hamlets,2013,Rented.from.Private.landlord,34.9
Waltham Forest,2013,Rented.from.Private.landlord,26.2
Wandsworth,2013,Rented.from.Private.landlord,32.8
Westminster,2013,Rented.from.Private.landlord,38.5
Inner London,2013,Rented.from.Private.landlord,29.9
Outer London,2013,Rented.from.Private.landlord,24.3
North East,2013,Rented.from.Private.landlord,15.5
North West,2013,Rented.from.Private.landlord,16
Yorkshire and The Humber,2013,Rented.from.Private.landlord,17.8
East Midlands,2013,Rented.from.Private.landlord,18
West Midlands,2013,Rented.from.Private.landlord,17
East of England,2013,Rented.from.Private.landlord,16.5
London,2013,Rented.from.Private.landlord,26.6
South East,2013,Rented.from.Private.landlord,17.6
South West,2013,Rented.from.Private.landlord,17.6
Wales,2013,Rented.from.Private.landlord,15.8
Scotland,2013,Rented.from.Private.landlord,13.4
Northern Ireland,2013,Rented.from.Private.landlord,18.2
UK,2013,Rented.from.Private.landlord,18.1
City of London,2012,Rented.from.Private.landlord,-
Barking and Dagenham,2012,Rented.from.Private.landlord,23
Barnet,2012,Rented.from.Private.landlord,30.7
Bexley,2012,Rented.from.Private.landlord,13.4
Brent,2012,Rented.from.Private.landlord,35.1
Bromley,2012,Rented.from.Private.landlord,13.7
Camden,2012,Rented.from.Private.landlord,26.5
Croydon,2012,Rented.from.Private.landlord,25.7
